iter	RMSE
0	1.297209878
1	1.260672571
2	1.2254618
3	1.189903891
4	1.156591429
5	1.12608765
6	1.09871956
7	1.071891134
8	1.045526807
9	1.023459564
10	1.000818855
11	0.9793339882
12	0.9587831593
13	0.9397157502
14	0.9204527839
15	0.9025421407
16	0.8853795438
17	0.8691743621
18	0.8533466866
19	0.8387920272
20	0.8262084205
21	0.8144858337
22	0.8009403092
23	0.7892328667
24	0.7777354938
25	0.7669901648
26	0.7573681751
27	0.7480227364
28	0.7383194779
29	0.7293322509
30	0.7202115872
31	0.7128217946
32	0.7060138381
33	0.6986153194
34	0.6916215296
35	0.6852910049
36	0.6777878012
37	0.6718261009
38	0.6655249742
39	0.6596919338
40	0.6545182348
41	0.6494605821
42	0.6442026172
43	0.6384359924
44	0.6345319054
45	0.6295983045
46	0.6245106468
47	0.619695007
48	0.6168505231
49	0.6127457395
50	0.6080093146
51	0.6042689885
52	0.5997728889
53	0.5967577471
54	0.5936542828
55	0.5897490755
56	0.5874111503
57	0.5838779269
58	0.580896947
59	0.5774805635
60	0.5744513682
61	0.5705105982
62	0.5673382924
63	0.564968052
64	0.5620802924
65	0.5601754737
66	0.55818123
67	0.5557081073
68	0.5534563966
69	0.5502392407
70	0.5479657913
71	0.5463048071
72	0.5435700919
73	0.5417636193
74	0.5402669931
75	0.5379419952
76	0.5368090134
77	0.535629718
78	0.533054924
79	0.5307324962
80	0.5293665961
81	0.5275386039
82	0.5255967183
83	0.5237706532
84	0.5223826353
85	0.5205442842
86	0.5187349288
87	0.5167920255
88	0.5151263253
89	0.5136650439
90	0.5125506491
91	0.5109365995
92	0.5093046027
93	0.5079764724
94	0.5059143712
95	0.5049177138
96	0.5032964193
97	0.5015080879
98	0.4998838954
99	0.4991557246
100	0.4980822279
101	0.4973075989
102	0.4962991895
103	0.4952088487
104	0.4945997453
105	0.4931846935
106	0.4921551009
107	0.4904037176
108	0.4894459047
109	0.4878590003
110	0.486573854
111	0.4849182813
112	0.4845540354
113	0.4836538044
114	0.4824307261
115	0.4817022698
116	0.4812316314
117	0.4801644945
118	0.4793119407
119	0.4784070205
120	0.4767705937
121	0.4758932497
122	0.4753296582
123	0.4743947877
124	0.4739952014
125	0.4730430583
126	0.4723954669
127	0.4711551865
128	0.4702816669
129	0.4692286809
130	0.4685266599
131	0.4675374315
132	0.466809899
133	0.4652484611
134	0.4642569977
135	0.4637965628
136	0.4632715149
137	0.4621831712
138	0.4616033251
139	0.4610235906
140	0.4599981267
141	0.4594121281
142	0.4585155052
143	0.4571811699
144	0.4561625229
145	0.4555285754
146	0.4547417409
147	0.4535190475
148	0.452100932
149	0.4516377363
150	0.4510075106
151	0.4500925068
152	0.4497346238
153	0.4486545349
154	0.4480616859
155	0.447005149
156	0.4462695192
157	0.4457552449
158	0.4449021876
159	0.4443436151
160	0.4436546623
161	0.4429378141
162	0.4423319556
163	0.4412183407
164	0.4410435896
165	0.4401769736
166	0.4398163736
167	0.4388451719
168	0.4377611398
169	0.437019895
170	0.4368178262
171	0.436078131
172	0.4350759978
173	0.4343227042
174	0.4341197533
175	0.4340623121
176	0.4336014507
177	0.4328072716
178	0.4319622257
179	0.4318706693
180	0.4315083622
181	0.4311577942
182	0.4304411072
183	0.4296804108
184	0.429328812
185	0.4288448954
186	0.4281393038
187	0.4269478857
188	0.4261361259
189	0.4260654303
190	0.4255142642
191	0.4247642634
192	0.4234984242
193	0.422373353
194	0.4217750218
195	0.4217060618
196	0.4213804811
197	0.4208496001
198	0.4205445469
199	0.4201713871
200	0.41982012
201	0.4192923087
202	0.4189041281
203	0.4182752693
204	0.4180160062
205	0.4178109207
206	0.417325969
207	0.4170888448
208	0.417037465
209	0.4163239842
210	0.4158343866
211	0.4151347437
212	0.4147486169
213	0.4143688548
214	0.4142973883
215	0.4134526717
216	0.4128902069
217	0.4119488007
218	0.4116867236
219	0.41037509
220	0.4094273923
221	0.4085687034
222	0.4073909829
223	0.4067631339
224	0.4059908001
225	0.4057885702
226	0.4043833166
227	0.403850719
228	0.4026733227
229	0.4021477286
230	0.4011631015
231	0.4011249141
232	0.4008389976
233	0.4004862864
234	0.4003400207
235	0.4001360246
236	0.3994120506
237	0.3991225838
238	0.3977849849
239	0.3972017717
240	0.3965227259
241	0.3949877125
242	0.3941481997
243	0.3940525721
244	0.3932561972
245	0.3931787003
246	0.3925551448
247	0.3915406248
248	0.3914781206
249	0.391214098
250	0.390353944
251	0.38913547
252	0.3890568613
253	0.3889164899
254	0.3884934685
255	0.3870422913
256	0.3865366938
257	0.3852226057
258	0.3845863213
259	0.3838506008
260	0.3836480174
261	0.3836190831
262	0.3831952027
263	0.3825320298
264	0.3817554611
265	0.3816761526
266	0.3809286571
267	0.3799044968
268	0.3798563876
269	0.379027004
270	0.378749512
271	0.3775651826
272	0.377100021
273	0.3765888194
274	0.3765495326
275	0.3759318363
276	0.3750356379
277	0.3747777913
278	0.3736576058
279	0.3732762909
280	0.3730338674
281	0.372968185
282	0.3729419056
283	0.3722032523
284	0.3717175379
285	0.3714380874
286	0.3711688074
287	0.3702886753
288	0.3701106361
289	0.3692306162
290	0.3686841385
291	0.3686312049
292	0.3676764946
293	0.3670007302
294	0.3666274667
295	0.3660592431
296	0.364965947
297	0.3647856568
298	0.3647683035
299	0.364038193
300	0.3634536083
301	0.3628872136
302	0.362149061
303	0.3621169607
304	0.3611159359
305	0.3608497031
306	0.360822126
307	0.3597964222
308	0.3594667516
309	0.3583504955
310	0.358318293
311	0.3579412696
312	0.3573709733
313	0.3573260706
314	0.3570011697
315	0.3561278635
316	0.3557712226
317	0.3555139706
318	0.3549554841
319	0.3544597842
320	0.3544182831
321	0.3542255593
322	0.3542064757
323	0.3541831722
324	0.3532982251
325	0.3532728543
326	0.3530942311
327	0.3529649327
328	0.352944576
329	0.3525955216
330	0.351877589
331	0.3514172578
332	0.3513866485
333	0.3512178403
334	0.3511488763
335	0.3502154179
336	0.3494024314
337	0.34936756
338	0.3484127463
339	0.3481548779
340	0.3477223779
341	0.3469898041
342	0.3464637691
343	0.3458705167
344	0.3447934752
345	0.3444296764
346	0.3433841636
347	0.3433322744
348	0.3427542475
349	0.3419488429
350	0.3416740959
351	0.3412154379
352	0.3407112099
353	0.3406793055
354	0.3396054011
355	0.3387889408
356	0.337987565
357	0.3371602491
358	0.3371145926
359	0.3362862809
360	0.3359783046
361	0.3353375332
362	0.3349594263
363	0.3345971181
364	0.3344320315
365	0.3337198332
366	0.3334102677
367	0.3333769135
368	0.3327136924
369	0.3326577504
370	0.3318249759
371	0.3314920073
372	0.3307488602
373	0.3305214998
374	0.3301707584
375	0.3294132365
376	0.328651888
377	0.3285357351
378	0.3280099831
379	0.3274732855
380	0.3273604537
381	0.3266756253
382	0.3263774532
383	0.3262482371
384	0.3255031964
385	0.3253279529
386	0.3249188289
387	0.3248159326
388	0.3247572502
389	0.3241797175
390	0.3240376931
391	0.3236574437
392	0.3234129415
393	0.3230471389
394	0.3227259416
395	0.3221246175
396	0.3218404893
397	0.3218078197
398	0.3209215209
399	0.3206810748
400	0.3200826003
401	0.3194881814
402	0.3194233266
403	0.3189973389
404	0.3186143463
405	0.3181683945
406	0.3181494972
407	0.3177602835
408	0.3173516747
409	0.3170327814
410	0.3164449363
411	0.3158510455
412	0.315761428
413	0.3152823541
414	0.3149127534
415	0.3140801797
416	0.3138228496
417	0.3136093853
418	0.3132103574
419	0.3126594396
420	0.3119996291
421	0.3113265858
422	0.3108382815
423	0.3106910871
424	0.3104414173
425	0.3100360809
426	0.3098081164
427	0.3093791942
428	0.3087996665
429	0.3082155797
430	0.3081565494
431	0.3081310516
432	0.3073918045
433	0.3073753774
434	0.3071578132
435	0.3066849525
436	0.3063157939
437	0.3058055233
438	0.30562081
439	0.3056029642
440	0.3052784909
441	0.3052701133
442	0.3045478423
443	0.3042090527
444	0.3040629643
445	0.3033702439
446	0.3027474333
447	0.3026724949
448	0.3019497935
449	0.3013216315
450	0.3011157099
451	0.300953316
452	0.3006574823
453	0.3004331361
454	0.2998616413
455	0.2995968835
456	0.299280884
457	0.2992095973
458	0.2991637713
459	0.2989853934
460	0.298918952
461	0.2988338895
462	0.2983691427
463	0.2976898988
464	0.2971102621
465	0.2968868371
466	0.2968506023
467	0.2964293773
468	0.2958275935
469	0.2952669807
470	0.2946575073
471	0.294064961
472	0.2935755513
473	0.2927424131
474	0.2925872331
475	0.2922550926
476	0.2918022988
477	0.2917790918
478	0.2912737438
479	0.2911574508
480	0.2907780474
481	0.2907686465
482	0.290184471
483	0.28975578
484	0.2891372081
485	0.2887309849
486	0.2885336996
487	0.2878031861
488	0.2873367712
489	0.2868113722
490	0.2862078199
491	0.2856290796
492	0.2853930296
493	0.2852119346
494	0.2846785648
495	0.2846637452
496	0.2845216394
497	0.2841319837
498	0.2840882213
499	0.2839827871
